lon,lat,lanid12,lanid17,mirad12,mirad17,aim12,aim17,aim_valid
-122.7,46.7,17.2502746582031,55.9047317504883,162.073928833008,112.5,0,0,0
-122.7,46.9,265.684051513672,350.874450683594,310.541961669922,243.75,0,0,0
-122.7,47.1,24.75,39.8699989318848,119.954467773438,73.0905380249024,0,0,0
-122.7,47.5,14.2200002670288,2.70000004768372,0.321226716041565,18.75,0,0,0
-122.7,47.7,0,0,0,0,0,0,0
-122.7,47.9,45.0729331970215,7.55999994277954,72.5142517089844,40.3558959960938,0,0,0
-122.7,48.3,210.403076171875,197.135040283203,109.592163085938,137.5,0,0,0
-122.7,48.9,897.2490234375,1272.05334472656,2618.1513671875,3836.89111328125,0,0,0
-122.5,37.7,0,0,0,0,0,0,0
-122.5,37.9,0,0,31.25,31.25,0,0,0
-122.5,38.1,4706.728515625,4913.82470703125,5446.20654296875,5489.95654296875,0,0,0
-122.5,38.3,4499.005859375,4819.38916015625,3484.115234375,3654.7880859375,0,0,0
-122.5,38.5,4643.91015625,4730.310546875,4663.36572265625,4738.36572265625,0,0,0
-122.5,38.7,731.471862792969,761.778259277344,131.554595947266,221.790557861328,0,0,0
-122.5,38.9,0,0,0,0,0,0,0
-122.5,39.3,21.7800006866455,0,12.5,25,0,0,0
-122.5,39.5,5.67000007629395,5.40000009536743,0,0,0,0,0
-122.5,39.7,31.0020008087158,27.468692779541,0,0,0,0,0
-122.5,39.9,75.5100021362305,42.3899993896484,0,0,0,0,0
-122.5,40.1,40.4099998474121,39.5264053344727,0,0,0,0,0
-122.5,40.3,206.345764160156,209.675765991211,122.966262817383,122.966262817383,0,0,0
-122.5,40.5,94.0987319946289,108.498733520508,0,0,0,0,0
-122.5,41.5,5181.9052734375,3374.85522460938,4365.0859375,2668.64306640625,0,0,0
-122.5,41.7,8463.7822265625,4993.9814453125,8911.60546875,5382.13525390625,0,0,0
-122.5,41.9,761.31884765625,433.082580566406,593.397216796875,635.626159667969,0,0,0
-122.5,42.1,10.8000001907349,11.1599998474121,0,0,0,0,0
-122.5,42.5,151.41584777832,147.998474121094,207.265884399414,200,0,0,0
-122.5,42.7,45.9000015258789,65.3399963378906,81.25,37.5,0,0,0
-122.5,44.7,106.473556518555,113.760231018066,128.481811523438,150.878463745117,0,0,0
-122.5,44.9,7.96165657043457,7.92000007629395,15.6535730361938,28.1535720825195,0,0,0
-122.5,45.1,498.280548095703,502.06494140625,1094.73669433594,1097.62512207031,0,0,0
-122.5,45.3,192.496337890625,372.073394775391,1783.66015625,1488.30541992188,0,0,0
-122.5,45.5,101.09049987793,56.5200004577637,159.874069213867,354.529022216797,0,0,0
-122.5,45.7,212.580001831055,199.800003051758,91.9825820922852,481.25,0,0,0
-122.5,45.9,55.0800018310547,69.5699996948242,269.825927734375,395.150787353516,0,0,0
-122.5,46.1,0,0,0,0,0,0,0
-122.5,46.3,2.4300000667572,0,0,0,0,0,0
-122.5,46.5,136.979995727539,215.190002441406,66.9153594970703,50,0,0,0
-122.5,46.7,32.9778213500977,42.2094459533691,33.084644317627,12.5,0,0,0
-122.5,46.9,253.464141845703,363.032501220703,206.167098999023,262.5,0,0,0
-122.5,47.1,0,0,12.5,0,0,0,0
-122.5,48.5,2148.10180664063,2662.08959960938,1444.47399902344,1648.43542480469,0,0,0
-122.5,48.7,3.79021692276001,21.7116050720215,17.5857734680176,67.0055236816406,0,0,0
-122.5,48.9,6369.326171875,6691.47119140625,5402.41064453125,5194.65966796875,0,0,0
-122.3,37.3,58.0499992370606,58.0499992370606,125.778755187988,138.278762817383,0,0,0
-122.3,37.5,0,0,12.5,12.5,0,0,0
-122.3,37.9,0,0,0,0,0,0,0
-122.3,38.3,8177.177734375,8613.34765625,6498.75341796875,6688.7587890625,0,0,0
-122.3,38.5,3299.40600585938,3313.8896484375,2917.98999023438,2950.14990234375,0,0,0
-122.3,38.7,119.087394714355,119.85578918457,29.0289554595947,79.0289611816406,0,0,0
-122.3,38.9,78.6342163085938,353.424285888672,8.544753074646,97.9548416137695,0,0,0
-122.3,39.1,6455.02001953125,6428.6142578125,6354.39697265625,5621.22265625,0,0,0
-122.3,39.3,12402.1279296875,11552.1396484375,12251.51171875,10453.7890625,0,0,0
-122.3,39.5,14559.1171875,15045.0498046875,14189.5830078125,14457.630859375,0,0,0
-122.3,39.7,11486.7509765625,11985.9287109375,9758.7451171875,9839.251953125,0,0,0
-122.3,39.9,4983.41796875,4770.16796875,4835.3037109375,4467.5888671875,0,0,0
-122.3,40.1,2217.0771484375,1794.77453613281,2156.9609375,1820.6630859375,0,0,0
-122.3,40.3,1284.80285644531,1139.85998535156,2171.427734375,2218.01489257813,0,0,0
-122.3,40.5,1265.47741699219,1231.26184082031,2993.43041992188,3833.73876953125,0,0,0
-122.3,40.7,14.8500003814697,14.8500003814697,193.75,212.5,0,0,0
-122.3,41.3,37.7099990844727,31.7700004577637,12.5,12.5,0,0,0
